"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";
"1";"";"22-23-2061";"22-23-2061";"X10";".100" (2.54mm) Center Header - 6 Pin";"";"";"";"";"MOLEX";"";"22-23-2061";"1462922";"27C1933";"";"";
"4";"";"KK-156-2";"KK-156-2";"X1, X2, X3, X4";"KK 156 HEADER";"";"";"";"";"";"";"";"unknown";"unknown";"";"";
"1";"";"KK-156-4";"KK-156-4";"X5";"KK 156 HEADER";"";"";"";"";"";"";"";"unknown";"unknown";"";"";
"2";"1000uF, 63V";"CPOL-EUE5-13";"E5-13";"C4, C5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"100R";"R-EU_R0402";"R0402";"R21";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"12";"100n";"C-EUC1206";"C1206";"C6, C7, C8, C12, C17, C18, C19, C21, C26, C27, C29, C30";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"100n 310V X2";"C10/6";"C10B6";"C1, C2, C3";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";
"12";"10k";"R-EU_R0402";"R0402";"R14, R15, R25, R26, R27, R28, R29, R30, R31, R32, R35, R38";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"10n";"C-EUC0603";"C0603";"C28";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"10n";"X2Y06030603";"C0603-X2Y";"CF3";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10u";"CPOL-USCT7343";"CT7343";"C9, C11, C14, C25";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uH";"KLZ1608MHR100WTD25";"INDC1608X95N";"L5";"FIXED IND 10UH 250MA 1.365 OHM";"Unavailable";" Inductor Decoupling Circuit Shielded Multi-Layer 10uH 20% 2MHz Ferrite 250mA 1.365Ohm DCR 0603 Automotive T/R ";"";"";"TDK";"KLZ1608MHR100WTD25";"";"";"";"0603 TDK";"None";
"1";"120k";"R-EU_0207/10";"0207/10";"R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"15k";"R-EU_R0402";"R0402";"R20, R39, R40";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"18R";"R-EU_R0603";"R0603";"R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"1M";"R-EU_R0402";"R0402";"R43, R44";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
